Skor_CFIT,Skor_APM,Skor_WA,skor_AN,AVG_ RA_ZR,AVG_FA_WU,skor Bisnis,Skor_sosial,Skor_desain,Skor_hitungan,Ket_ES,Ket_RE,Ket_AVG_4-6-8,skor_ACT,skor_DES,skor_FEAS,E1_Score,E2_Score,E3_Score,E4_Score,E5_Score,E6_Score,AVG_E,IPK
16.0,18.0,12.0,12.0,13.5,13.5,17.0,9.0,6.0,9.0,Baik,Tinggi,Baik,16.500472552571473,11.792538605859432,15.241092636579573,B,B,A-,B+,B,B+,75.82833333333333,3.36
16.0,15.0,12.0,11.0,12.0,11.0,20.0,15.0,5.0,16.0,Kurang,Baik,Kurang,19.02075293376388,16.988093519988457,19.7541567695962,A,A-,A,A,A-,A-,87.4975,3.66
18.0,15.0,12.0,12.0,14.5,15.0,20.0,14.0,9.0,4.0,Cukup,Cukup,Cukup,20.280893124360084,13.813032183576276,16.66627078384798,B+,B+,B,B+,A,A-,79.99583333333334,3.13
14.0,11.0,11.0,10.0,11.5,10.0,20.0,12.0,3.0,13.0,Tinggi,Tinggi,Baik,,,,A-,B,B+,A-,A,B,79.99583333333334,3.52
17.0,15.0,12.0,13.0,12.0,12.0,20.0,17.0,5.0,13.0,Baik,Baik,Baik,,,,A-,A-,A-,A-,A-,A-,82.495,3.42
14.0,13.0,13.0,13.0,13.0,12.0,20.0,16.0,2.0,20.0,Kurang,Cukup,Baik,,,,B+,B+,A-,A-,B,B+,78.32833333333333,3.34
18.0,6.0,10.0,12.0,11.0,8.5,20.0,12.0,9.0,7.0,Rendah,Kurang,Baik,20.280893124360084,14.967599942271614,16.42874109263658,A,B+,A,A-,B+,B+,83.33,3.32
18.0,5.0,10.0,8.0,11.5,11.0,20.0,14.0,4.0,18.0,Tinggi,Tinggi,Tinggi,15.555367409624319,13.52439024390244,16.42874109263658,A-,B,A,A-,A,A,85.83083333333333,3.45
15.0,5.0,12.0,12.0,11.0,10.5,20.0,15.0,3.0,15.0,Cukup,Baik,Baik,,,,A,E,A,A,A-,A-,77.4975,3.48
17.0,15.0,14.0,10.0,11.0,11.0,20.0,16.0,1.0,16.0,Baik,Cukup,Baik,,,,B+,A-,B,A,A-,A-,81.66250000000001,3.32
18.0,11.0,14.0,11.0,12.0,10.5,15.0,17.0,8.0,12.0,Kurang,Kurang,Cukup,20.280893124360084,16.988093519988457,,B+,B,A,A-,B+,A,82.49666666666667,3.52
18.0,9.0,13.0,10.0,11.0,10.5,,,,,Kurang,Baik,Cukup,,,,B+,B,A,A-,B+,A-,80.82916666666667,3.19
18.0,16.0,13.0,12.0,11.0,11.0,16.0,14.0,9.0,10.0,Cukup,Baik,Cukup,20.280893124360084,16.988093519988457,17.85391923990499,B,A-,B,B+,A-,A-,78.32833333333333,3.36
8.0,18.0,12.0,12.0,11.0,11.5,20.0,15.0,10.0,1.0,Baik,Cukup,Baik,,,,B+,C+,A,B+,B+,B+,77.49583333333334,3.12
8.0,17.0,11.0,13.0,12.5,10.0,20.0,14.0,2.0,19.0,Baik,Baik,Cukup,,,,A-,B,A,A-,A-,B+,81.66250000000001,3.31
17.0,18.0,12.0,14.0,13.0,13.0,16.0,15.0,11.0,5.0,Kurang,Baik,Cukup,15.87040245727337,13.235748304228606,17.616389548693586,B+,B,A,B,A-,A,81.66333333333334,3.35
16.0,18.0,13.0,13.0,13.0,9.5,18.0,11.0,10.0,6.0,Baik,Baik,Baik,18.39068283846578,15.833525761293117,16.903800475059384,A-,A-,A-,B+,A-,A-,81.66166666666668,3.27
13.0,18.0,12.0,12.0,10.5,11.0,20.0,16.0,9.0,17.0,Cukup,Baik,Tinggi,,,,B+,A-,B+,A,B+,B+,80.82916666666667,3.35
14.0,18.0,12.0,15.0,10.0,10.5,15.0,15.0,12.0,2.0,Cukup,Baik,Baik,20.280893124360084,17.85401933900996,16.42874109263658,B+,B,A-,A-,A-,B+,79.16166666666668,3.61
18.0,18.0,11.0,10.0,11.5,11.5,20.0,13.0,1.0,4.0,Kurang,Rendah,Kurang,14.295227219028115,13.813032183576276,13.340855106888363,B,A-,A,B+,A-,B,79.99583333333334,3.1
13.0,13.0,12.0,12.0,13.5,12.0,20.0,18.0,1.0,8.0,Cukup,Baik,Baik,19.965858076711033,13.813032183576276,15.953681710213777,A,A,A,A,A-,B+,88.33166666666666,3.61
